"Timestamp","Chest_Roll_Error","Chest_Pitch_Error","Chest_Yaw_Error","Pelvis_Roll_Error","Pelvis_Pitch_Error","Pelvis_Yaw_Error","LeftFoot_Roll_Error","LeftFoot_Pitch_Error","LeftFoot_Yaw_Error","RightFoot_Roll_Error","RightFoot_Pitch_Error","RightFoot_Yaw_Error"
0.001,-0.00430518,-0.0093798,-0.0330678,-0.00937989,0.00430499,-0.0330267,0,0,-0.00405179,0.0031604,-0.00587025,0.00398872
0.002,-0.00430517,-0.00937985,-0.0330677,-0.00937991,0.004305,-0.0330265,0,0,-0.00405175,0.00316035,-0.00587028,0.00398871
0.003,-0.00429858,-0.00938231,-0.0330979,-0.0094219,0.00429641,-0.032994,0,0,-0.00408461,0.00225916,-0.00594148,0.00401643
0.004,-0.00428041,-0.00939863,-0.0330598,-0.00944109,0.00426006,-0.0329831,5.42623e-07,2.92569e-07,-0.0040817,0.00180691,-0.00587786,0.00401071
0.005,-0.00425376,-0.00942859,-0.0330417,-0.0094408,0.00424339,-0.0329633,-1.73427e-07,2.01459e-06,-0.00407961,0.00149203,-0.00591657,0.00400683
0.006,-0.00422021,-0.00946438,-0.0330151,-0.00942064,0.00422342,-0.0329409,-2.24643e-06,6.89075e-06,-0.00405623,0.00139868,-0.0059422,0.00398293
0.007,-0.00418717,-0.00949993,-0.0329822,-0.0093844,0.00419439,-0.0329134,-4.90856e-06,1.53565e-05,-0.00401301,0.00150867,-0.00594973,0.00394038
0.008,-0.00415606,-0.00952987,-0.0329542,-0.00935082,0.00418168,-0.0328789,-7.75412e-06,2.75773e-05,-0.00396198,0.00162743,-0.00596652,0.00389008
0.009,-0.00412568,-0.0095502,-0.032927,-0.00932243,0.00416888,-0.032829,-1.03201e-05,4.3522e-05,-0.00390202,0.00174382,-0.00598453,0.00383085
0.01,-0.00409526,-0.00956112,-0.0328916,-0.00929681,0.00415732,-0.0327644,-1.21968e-05,6.25123e-05,-0.00383378,0.0018561,-0.0060044,0.00376332
0.011,-0.00407178,-0.00956274,-0.0328419,-0.00927255,0.00414741,-0.0326843,-1.32171e-05,8.37429e-05,-0.00375917,0.00196303,-0.00602662,0.0036894
0.012,-0.00405461,-0.00955551,-0.0327754,-0.00924875,0.00413914,-0.0325871,-1.32801e-05,0.000106361,-0.00368055,0.00206367,-0.00605136,0.00361144
0.013,-0.0040431,-0.00954007,-0.0326896,-0.00922481,0.00413247,-0.0324717,-1.22672e-05,0.000129537,-0.00359998,0.00215744,-0.00607884,0.00353149
0.014,-0.00403654,-0.00951718,-0.0325826,-0.00920033,0.00412738,-0.0323367,-1.00042e-05,0.000152489,-0.00351917,0.00224402,-0.00610928,0.00345129
0.015,-0.00403426,-0.00948768,-0.0324532,-0.00917509,0.00412382,-0.0321817,-6.24721e-06,0.000174506,-0.00343957,0.00232336,-0.00614288,0.00337224
0.016,-0.00403561,-0.00945246,-0.0323002,-0.00914891,0.00412175,-0.0320063,-6.8572e-07,0.000194954,-0.00336227,0.00239557,-0.0061798,0.00329548
0.017,-0.00403999,-0.00941241,-0.032123,-0.00912169,0.00412115,-0.0318098,7.04234e-06,0.00021328,-0.00328813,0.0024609,-0.00622012,0.00322184
0.018,-0.00404685,-0.00936841,-0.0319214,-0.00909337,0.004122,-0.0315926,1.73295e-05,0.000229013,-0.00321773,0.00251971,-0.00626387,0.00315192
0.019,-0.00405574,-0.00932129,-0.0316955,-0.00906388,0.00412425,-0.0313549,3.05753e-05,0.00024176,-0.00315145,0.00257244,-0.00631099,0.00308608
0.02,-0.00406624,-0.00927178,-0.0314457,-0.00903316,0.0041279,-0.0310969,4.71635e-05,0.000251201,-0.00308945,0.00261958,-0.00636136,0.00302452
