"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ"
0.001,93.3686,-21.5834,86.1268,-1.48239,86.1268,-1.48239,93.3686,-21.5834,0,0,0,0,0,0
0.002,93.3686,-21.5834,86.1268,-1.48238,86.1268,-1.48238,93.3686,-21.5834,-0.132557,-0.76785,0.681069,0.226156,-0.2416,-0.125621
0.003,351.985,-71.4803,86.1226,-1.48071,86.1226,-1.48071,221.092,29.9274,-0.337677,-0.728283,2.5019,0.316899,-0.734037,-0.114558
0.004,157.149,-43.9836,86.1258,-1.48584,86.1258,-1.48584,218.035,168.859,-0.388267,-0.710534,2.62762,0.472136,-0.849167,-0.105259
0.005,207.588,-167.238,86.1376,-1.50291,86.1376,-1.50291,227.368,131.267,-0.47886,-0.595043,2.7757,0.599139,-0.977123,-0.0868374
0.006,219.764,-207.181,86.1515,-1.5315,86.1515,-1.5315,229.56,117.488,-0.579111,-0.447889,2.89992,0.711611,-1.10148,-0.0671527
0.007,114.149,-70.5568,86.1669,-1.56953,86.1669,-1.56953,130.708,182.546,-0.595612,-0.409088,2.15175,0.718692,-1.02998,-0.0811454
0.008,123.365,-77.5078,86.1834,-1.62575,86.1834,-1.62575,-679.484,770.83,-0.619425,-0.364782,1.43774,0.725877,-0.971391,-0.0937672
0.009,117.252,-73.8162,86.1977,-1.69676,86.1977,-1.69676,-336.7,218.27,-0.638399,-0.323408,0.719133,0.737826,-0.910782,-0.107926
0.01,111.852,-69.4264,86.2098,-1.78172,86.2098,-1.78172,-251.754,16.5547,-0.653097,-0.28552,0.000781193,0.752811,-0.848842,-0.122703
0.011,109.244,-65.8416,86.22,-1.87987,86.22,-1.87987,-269.395,-143.982,-0.665734,-0.250476,-0.717336,0.770133,-0.787104,-0.137826
0.012,107.108,-63.0776,86.2286,-1.99074,86.2286,-1.99074,-286.565,-266.695,-0.676686,-0.217627,-1.43525,0.789187,-0.725565,-0.15321
0.013,105.299,-60.9183,86.2357,-2.11396,86.2357,-2.11396,-303.924,-366.392,-0.686211,-0.186492,-2.15288,0.809567,-0.664195,-0.168776
0.014,103.731,-59.1565,86.2417,-2.24925,86.2417,-2.24925,-320.539,-453.911,-0.694499,-0.156755,-2.87016,0.831015,-0.602951,-0.184446
0.015,102.353,-57.6414,86.2467,-2.39635,86.2467,-2.39635,-336.228,-535.798,-0.701703,-0.12822,-3.58701,0.85336,-0.541786,-0.200139
0.016,101.136,-56.2672,86.251,-2.55497,86.251,-2.55497,-351.146,-616.006,-0.70795,-0.100774,-4.3034,0.876483,-0.480664,-0.215776
0.017,100.056,-54.9713,86.2547,-2.72485,86.2547,-2.72485,-365.835,-696.527,-0.713348,-0.0743556,-5.01929,0.900289,-0.419552,-0.231275
