"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ"
0.001,93.3686,-21.5834,86.1268,-1.48235,86.0091,-1.49462,93.3686,-21.5834,0,0,0,0,0,0
0.002,93.3686,-21.5834,86.1268,-1.48235,86.0091,-1.49462,93.3686,-21.5834,-0.038768,-0.0692946,-0.284482,0.0689603,-0.0284683,-0.00819461
0.003,160.623,105.522,86.1266,-1.48221,86.0091,-1.49462,221.298,132.44,-0.0920643,-0.170021,-0.372414,0.165685,-0.0990195,-0.0211654
0.004,85.6702,-132.848,86.1273,-1.48232,86.0091,-1.49462,203.323,468.066,-0.085965,-0.0818505,-1.01803,0.208008,-0.0451145,-0.0142757
0.005,96.9968,-65.0536,86.1312,-1.49187,86.0091,-1.49462,18.5665,-540.384,-0.0888427,-0.0474053,-1.73891,0.232535,0.0208977,-0.0216351
0.006,95.9343,-66.084,86.1357,-1.51646,86.0091,-1.49462,-20.244,-495.335,-0.0908795,-0.012143,-2.45839,0.255596,0.0862665,-0.0305869
0.007,95.1087,-65.9509,86.1401,-1.55593,86.0091,-1.49462,-17.9836,-470.112,-0.0922626,0.023015,-3.17815,0.278385,0.151665,-0.0408551
0.008,94.5344,-65.2852,86.1442,-1.61012,86.0091,-1.49462,-34.9351,-490.428,-0.093192,0.0576476,-3.89737,0.301241,0.216808,-0.0520471
0.009,94.2157,-64.3568,86.1479,-1.67874,86.0091,-1.49462,-62.0358,-528.703,-0.0938699,0.0915468,-4.61601,0.324388,0.281562,-0.0640049
0.01,94.0774,-63.2716,86.151,-1.76148,86.0091,-1.49462,-95.4928,-578.652,-0.0944389,0.124589,-5.33408,0.347949,0.345867,-0.0766379
0.011,94.055,-62.1083,86.1537,-1.85798,86.0091,-1.49462,-133.005,-636.117,-0.094992,0.156714,-6.05156,0.371972,0.409705,-0.0898673
0.012,94.1014,-60.9158,86.1558,-1.96789,86.0091,-1.49462,-172.854,-698.656,-0.095582,0.187898,-6.76846,0.396457,0.473089,-0.103608
0.013,94.1836,-59.7223,86.1574,-2.09081,86.0091,-1.49462,-213.942,-763.627,-0.0962396,0.218141,-7.48479,0.421367,0.536048,-0.117766
0.014,94.2829,-58.5426,86.1585,-2.22637,86.0091,-1.49462,-255.565,-830.294,-0.0969752,0.247454,-8.20055,0.446648,0.598623,-0.13224
0.015,94.3811,-57.3818,86.1592,-2.37419,86.0091,-1.49462,-297.112,-897.027,-0.0977913,0.275854,-8.91574,0.47223,0.660859,-0.146923
0.016,94.4737,-56.2419,86.1596,-2.53389,86.0091,-1.49462,-338.674,-963.977,-0.0986814,0.303356,-9.63036,0.498038,0.722805,-0.161708
0.017,94.5551,-55.121,86.1596,-2.70511,86.0091,-1.49462,-379.737,-1029.43,-0.099638,0.329976,-10.3444,0.523993,0.784508,-0.176489
0.018,94.6231,-54.0167,86.1594,-2.88748,86.0091,-1.49462,-420.687,-1093.88,-0.100649,0.355729,-11.0579,0.550014,0.846014,-0.191165
