"Timestamp","Chest_Roll_Error","Chest_Pitch_Error","Chest_Yaw_Error","Pelvis_Roll_Error","Pelvis_Pitch_Error","Pelvis_Yaw_Error","LeftFoot_Roll_Error","LeftFoot_Pitch_Error","LeftFoot_Yaw_Error","RightFoot_Roll_Error","RightFoot_Pitch_Error","RightFoot_Yaw_Error"
0.001,-0.00430518,-0.0093798,-0.0330678,-0.00937989,0.00430499,-0.0330267,0,0,-0.00405179,0.0031604,-0.00587025,0.00398872
0.002,-0.00430517,-0.00937985,-0.0330677,-0.00937991,0.004305,-0.0330265,0,0,-0.00405175,0.00316035,-0.00587028,0.00398871
0.003,-0.00429858,-0.00938231,-0.0330979,-0.0094219,0.00429641,-0.032994,0,0,-0.00408461,0.00225916,-0.00594148,0.00401643
0.004,-0.00428041,-0.00939863,-0.0330598,-0.00944109,0.00426006,-0.0329831,5.42621e-07,2.92566e-07,-0.0040817,0.00180691,-0.00587786,0.00401071
0.005,-0.00425376,-0.00942859,-0.0330417,-0.0094408,0.00424339,-0.0329633,-1.73497e-07,2.01459e-06,-0.00407962,0.00149203,-0.00591657,0.00400684
0.006,-0.00422021,-0.00946439,-0.0330151,-0.00942064,0.00422342,-0.0329409,-2.2464e-06,6.89081e-06,-0.00405624,0.00139867,-0.00594221,0.00398294
0.007,-0.00418718,-0.00949994,-0.0329822,-0.00938439,0.00419439,-0.0329134,-4.90837e-06,1.53566e-05,-0.00401303,0.00150874,-0.00594973,0.00394039
0.008,-0.00415607,-0.00952988,-0.0329542,-0.0093508,0.00418168,-0.0328789,-7.75384e-06,2.75773e-05,-0.00396199,0.00162755,-0.00596653,0.00389009
0.009,-0.00412569,-0.0095502,-0.0329269,-0.0093224,0.0041689,-0.032829,-1.03202e-05,4.3522e-05,-0.00390202,0.00174399,-0.00598456,0.00383085
0.01,-0.00409526,-0.00956112,-0.0328916,-0.00929678,0.00415734,-0.0327644,-1.21976e-05,6.25123e-05,-0.00383377,0.00185632,-0.00600445,0.00376332
0.011,-0.00407178,-0.00956273,-0.0328419,-0.00927254,0.00414745,-0.0326843,-1.32191e-05,8.37428e-05,-0.00375917,0.0019633,-0.0060267,0.0036894
0.012,-0.00405462,-0.00955551,-0.0327754,-0.00924874,0.0041392,-0.0325871,-1.32835e-05,0.000106361,-0.00368055,0.00206399,-0.00605146,0.00361144
0.013,-0.00404312,-0.00954007,-0.0326896,-0.00922481,0.00413256,-0.0324717,-1.2272e-05,0.000129535,-0.00359997,0.0021578,-0.00607897,0.00353149
0.014,-0.00403657,-0.00951717,-0.0325826,-0.00920035,0.00412749,-0.0323367,-1.00099e-05,0.000152485,-0.00351918,0.00224442,-0.00610944,0.00345129
0.015,-0.00403431,-0.00948768,-0.0324532,-0.00917512,0.00412395,-0.0321817,-6.253e-06,0.000174498,-0.00343957,0.00232379,-0.00614307,0.00337225
0.016,-0.00403568,-0.00945246,-0.0323002,-0.00914896,0.00412192,-0.032006,-6.90227e-07,0.000194939,-0.00336228,0.00239603,-0.00618002,0.00329549
0.017,-0.00404009,-0.00941242,-0.032123,-0.00912177,0.00412135,-0.0318098,7.0409e-06,0.000213257,-0.00328814,0.00246138,-0.00622037,0.00322186
0.018,-0.00404699,-0.00936843,-0.0319214,-0.00909347,0.00412222,-0.0315926,1.73333e-05,0.00022898,-0.00321775,0.00252021,-0.00626414,0.00315194
0.019,-0.0040559,-0.00932133,-0.0316955,-0.009064,0.0041245,-0.0313549,3.0587e-05,0.000241713,-0.00315147,0.00257296,-0.00631128,0.00308611
0.02,-0.00406645,-0.00927184,-0.0314457,-0.00903331,0.00412818,-0.0310969,4.7186e-05,0.000251138,-0.00308948,0.00262011,-0.00636169,0.00302455
