"Timestamp","Pelvis_Yaw_Delta","Pelvis_Yaw_Error","Pelvis_Pitch_Delta","Pelvis_Pitch_Error","Chest_Roll_Delta","Chest_Roll_Error","Chest_Pitch_Delta","Chest_Pitch_Error","LeftFoot_Roll_Delta","LeftFoot_Roll_Error","LeftFoot_Pitch_Delta","LeftFoot_Pitch_Error","RightFoot_Roll_Delta","RightFoot_Roll_Error","Pelvis_Roll_Delta","Pelvis_Roll_Error","RightFoot_Pitch_Delta","RightFoot_Pitch_Error","Chest_Yaw_Delta","Chest_Yaw_Error","LeftFoot_Yaw_Delta","LeftFoot_Yaw_Error","RightFoot_Yaw_Delta","RightFoot_Yaw_Error"
12.088,4.35715e-06,1.66893e-06,-0.000762025,0.000373813,0.000642063,-0.000373113,-0.00016125,0.0001517,-2.92644e-05,0.000139011,0.000447063,-0.000257578,0.000190127,0.000176381,-0.000121852,-0.00023592,0.000481656,7.05725e-05,-2.089e-05,9.93013e-05,6.89055e-06,-0.000110608,-2.60141e-05,0.000110716
12.089,4.35715e-06,1.66893e-06,-0.000762025,0.000373813,0.000642063,-0.000373113,-0.00016125,0.0001517,-2.92644e-05,0.000139011,0.000447063,-0.000257578,0.000190127,0.000176381,-0.000121852,-0.00023592,0.000481656,7.05725e-05,-2.089e-05,9.93013e-05,6.89055e-06,-0.000110608,-2.60141e-05,0.000110716
12.09,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.091,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.092,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.093,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.094,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.095,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.096,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.097,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.098,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.099,-4.14993e-06,-6.51518e-05,-0.000609688,0.00071068,0.000455425,-0.00106506,-0.000121321,0.000211931,1.43196e-05,0.000418626,0.000361831,-0.00105494,0.000160547,-0.000183968,-7.46762e-05,0.000296173,0.00043372,-0.000478209,-3.41546e-05,-0.000120044,7.84727e-06,2.60249e-05,-2.59943e-05,-2.56188e-05
12.1,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.101,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.102,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
