"Timestamp","BallCollision_NumContacts","BallCollision_ForceAmplitude"
4.731,2,10.8956
4.732,2,0.579485
4.733,2,0.0168868
4.734,2,0
4.735,2,0
4.736,2,0
4.737,2,0.214377
4.738,2,0
4.739,2,0.126881
4.74,2,0.0052165
4.741,2,0.00515187
4.742,2,0.00467825
4.743,2,0.0343246
4.744,2,0.0245722
4.745,2,0.136902
4.746,2,0.0108138
4.747,2,0.0546659
4.748,2,0.00691087
4.749,3,18.3653
4.75,3,0.209862
4.751,3,0.00425691
4.752,3,0.0181228
4.753,3,0
4.754,3,0
4.755,3,0
4.756,3,0.0941058
4.757,3,0.00840973
4.758,3,0.00817724
4.759,3,0.00712975
4.76,3,0.0063333
4.761,3,0.00566002
4.762,3,0.00520372
4.763,3,0.00470615
4.764,3,0.00487461
4.765,3,0
4.766,3,0.00954534
4.767,3,0.00407777
4.768,3,0.00468264
4.769,3,0.00541715
4.77,3,0.000530159
4.771,3,0.0154691
4.772,3,0.000559151
4.773,3,0
4.774,3,0.00266703
4.775,3,0
4.776,3,0.0484283
4.777,3,0.0107181
4.778,3,0.0106334
4.779,3,0.0103812
4.78,3,0.00988114
4.781,4,0.00829042
4.782,4,0.00882911
4.783,4,0.00843887
4.784,4,0.00905345
4.785,4,0
4.786,4,0.0058208
4.787,4,0.0297395
4.788,4,0.0085164
4.789,4,0.00814351
4.79,4,0.00782218
4.791,5,0.00782403
4.792,6,0.0607389
4.793,6,0.00447134
4.794,6,0.00511614
4.795,6,0.00468013
4.796,6,0.00507256
4.797,6,0.00538042
4.798,6,0.00524045
4.799,6,0.00583352
4.8,6,0.00569592
4.801,6,0.00507583
4.802,6,0.00450634
4.803,6,0.00379959
4.804,6,0.00474922
4.805,6,0.00534476
4.806,6,0.00559948
4.807,6,0.0058815
4.808,6,0.00559636
4.809,6,0.0057063
4.81,6,0.00525345
4.811,6,0.00496985
4.812,6,0.00461834
4.813,6,0.00358269
4.814,6,0.00337301
4.815,6,0.0044948
4.816,6,0.00276494
4.817,6,0.00248043
4.818,6,0.00241862
4.819,6,0.00244222
4.82,6,0.00207349
4.821,6,0.0019916
4.822,6,0.00200744
4.823,6,0.00204033
4.824,6,0.00248006
4.825,6,0.00294256
4.826,6,0.00429708
4.827,6,0.00522869
4.828,6,0.0045226
4.829,5,0.00392975
4.83,5,0.00359899
4.831,5,0.00337701
4.832,5,0.00317159
4.833,5,0.00262524
4.834,4,0.00311116
4.835,4,0.00345312
4.836,4,0.0037075
4.837,4,0.00393528
4.838,5,0.00415395
4.839,5,0.0042942
4.84,5,0.00439323
4.841,5,0.00440947
4.842,5,0.00433353
4.843,5,0.00402064
4.844,5,0.00441679
4.845,5,0.00441749
4.846,5,0.00417672
4.847,5,0.00384925
4.848,5,0.00351188
4.849,5,0.00319083
4.85,5,0.00289115
4.851,5,0.00261976
4.852,5,0.00238253
4.853,5,0.00194156
4.854,5,0.00241928
4.855,5,0.00259663
4.856,5,0.00230527
4.857,5,0.00864742
4.858,6,0.00115111
4.859,6,0.00157985
4.86,6,0.00178077
4.861,6,0.00206923
4.862,6,0.0088151
4.863,6,0
4.864,6,0.00324187
4.865,6,0.00689737
4.866,5,0.0164308
4.867,5,0.00834635
4.868,4,0.00824605
4.869,4,0.00778116
4.87,4,0.00725347
4.871,4,0.00691465
