"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Target_LeftFootX","Target_LeftFootY","Target_LeftFootZ","Target_RightFootX","Target_RightFootY","Target_RightFootZ","Target_CoMX","Target_CoMY","Target_CoMZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.013,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.143667,-0.345546,0.431504,172.07,-3.06858,0.536131,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.3953,-21.229,892.777
0.014,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.130692,-0.382483,0.458571,172.091,-3.09733,0.560787,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.382,-21.2387,892.775
0.015,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.113599,-0.420049,0.479562,172.11,-3.11875,0.580374,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.3681,-21.2472,892.764
0.016,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0931543,-0.458061,0.495084,172.127,-3.12958,0.595217,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.3534,-21.2542,892.745
0.017,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0696144,-0.495836,0.505572,172.142,-3.13683,0.606556,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.3379,-21.2605,892.719
0.018,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0432266,-0.53303,0.512375,172.158,-3.14432,0.615263,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.3218,-21.2667,892.687
0.019,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0146308,-0.569925,0.516618,172.175,-3.15208,0.621727,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.305,-21.2728,892.65
0.02,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.0157905,-0.606846,0.518957,172.192,-3.16012,0.626255,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.2875,-21.279,892.608
0.021,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.0478045,-0.644077,0.519743,172.209,-3.16847,0.629108,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.2693,-21.2854,892.562
0.022,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.0812513,-0.681844,0.519182,172.228,-3.17708,0.630489,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.2504,-21.2919,892.511
