"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","CoP_ZMPX","CoP_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ","CoMAngularMomentumX","CoMAngularMomentumY","CoMAngularMomentumZ"
0.026,169.702,3.87871,86.1569,-2.01563,172.044,-3.75646,233.502,108.015,233.112,126.409,-1.67439,-0.450737,-5.00512,1.57411,-1.26545,-0.13745,1.06541,-0.246043,-0.0590033
0.027,171.237,6.4023,86.1473,-2.04167,172.035,-3.76988,233.31,109.01,233.112,126.409,-1.73645,-0.473099,-5.24886,1.63956,-1.30729,-0.144775,1.10573,-0.25552,-0.0628948
0.028,172.688,8.77832,86.1372,-2.06835,172.025,-3.78337,233.126,109.941,233.112,126.409,-1.79969,-0.497354,-5.48645,1.70613,-1.3505,-0.152023,1.14561,-0.264748,-0.0665079
0.029,174.047,11.0278,86.1267,-2.0957,172.014,-3.79698,232.945,110.802,233.112,126.409,-1.86403,-0.5234,-5.71853,1.77371,-1.39493,-0.159175,1.18504,-0.273702,-0.0698349
0.03,175.303,13.1618,86.1157,-2.12373,172.004,-3.81074,232.761,111.588,233.112,126.409,-1.92939,-0.551149,-5.94564,1.84222,-1.44045,-0.166221,1.224,-0.282373,-0.0728751
0.031,176.448,15.1941,86.1042,-2.15247,171.993,-3.82469,232.574,112.306,233.112,126.409,-1.99569,-0.58052,-6.16827,1.91158,-1.48694,-0.173156,1.26247,-0.29077,-0.0756339
0.032,177.478,17.131,86.0922,-2.18194,171.981,-3.83887,232.375,112.954,233.112,126.409,-2.06283,-0.611437,-6.38681,1.98172,-1.5343,-0.179982,1.30044,-0.29891,-0.0781215
0.033,178.393,18.9782,86.0797,-2.21218,171.969,-3.85333,232.172,113.54,233.112,126.409,-2.13073,-0.643829,-6.60165,2.05258,-1.58244,-0.186704,1.33789,-0.306819,-0.0803519
0.034,179.19,20.7371,86.0667,-2.24321,171.956,-3.86812,231.959,114.065,233.112,126.409,-2.1993,-0.67763,-6.81308,2.12408,-1.63129,-0.19333,1.37482,-0.314528,-0.0823418
0.035,179.88,22.4115,86.0531,-2.27507,171.943,-3.88328,231.739,114.535,233.112,126.409,-2.26844,-0.71277,-7.02141,2.19618,-1.68077,-0.199871,1.41123,-0.322069,-0.0841103
0.036,180.467,24.0002,86.039,-2.3078,171.929,-3.89886,231.514,114.955,233.112,126.409,-2.33808,-0.749184,-7.22688,2.26882,-1.73083,-0.20634,1.44712,-0.329476,-0.0856773
0.037,180.959,25.5047,86.0244,-2.34142,171.915,-3.91492,231.285,115.325,233.112,126.409,-2.40815,-0.786806,-7.42972,2.34195,-1.7814,-0.212749,1.48249,-0.336781,-0.0870634
0.038,181.373,26.9281,86.0093,-2.37597,171.9,-3.93149,231.058,115.653,233.112,126.409,-2.47858,-0.82557,-7.63012,2.41554,-1.83245,-0.219111,1.51735,-0.344012,-0.0882899
0.039,181.713,28.2692,85.9936,-2.41147,171.885,-3.94862,230.833,115.938,233.112,126.409,-2.54932,-0.865414,-7.82824,2.48955,-1.88393,-0.225441,1.55173,-0.351196,-0.0893773
0.04,181.999,29.5286,85.9775,-2.44796,171.869,-3.96635,230.616,116.189,233.112,126.409,-2.62032,-0.906272,-8.02425,2.56394,-1.93582,-0.23175,1.58564,-0.358356,-0.0903457
0.041,182.236,30.7068,85.9609,-2.48546,171.852,-3.98471,230.406,116.399,233.112,126.409,-2.69154,-0.948082,-8.21827,2.63867,-1.98808,-0.238052,1.6191,-0.365509,-0.091214
0.042,182.443,31.8077,85.9438,-2.52398,171.836,-4.00374,230.209,116.574,233.112,126.409,-2.76297,-0.990782,-8.41039,2.71372,-2.04071,-0.244358,1.65213,-0.372669,-0.0919998
0.043,182.627,32.8307,85.9261,-2.56354,171.818,-4.02344,230.026,116.715,233.112,126.409,-2.83459,-1.03431,-8.60071,2.78907,-2.09368,-0.250678,1.68477,-0.379847,-0.0927193
0.044,183.508,33.4052,85.9081,-2.60414,171.801,-4.04385,229.967,116.804,233.112,126.409,-2.90695,-1.07832,-8.7895,2.86465,-2.14701,-0.257096,1.71725,-0.386577,-0.0934777
0.045,184.724,33.6126,85.8895,-2.64577,171.782,-4.06497,230.022,116.832,233.112,126.409,-2.98032,-1.12251,-8.97702,2.9404,-2.20068,-0.263759,1.74978,-0.392647,-0.0944439
0.046,185.791,33.7123,85.8704,-2.6884,171.764,-4.08682,230.11,116.801,233.112,126.409,-3.05457,-1.16679,-9.16326,3.0163,-2.25472,-0.270768,1.78239,-0.398182,-0.0957273
0.047,182.61,35.9555,85.8506,-2.73198,171.744,-4.10939,229.564,116.813,233.112,126.409,-3.12635,-1.21288,-9.34684,3.09253,-2.30912,-0.277707,1.8138,-0.406029,-0.0968288
0.048,186.059,35.2524,85.8304,-2.77655,171.724,-4.13258,229.847,116.702,233.112,126.409,-3.20091,-1.25843,-9.52922,3.16885,-2.36398,-0.284626,1.84581,-0.411752,-0.097901
0.049,-454.873,-909.984,85.8097,-2.82202,171.704,-4.15644,-59.7779,-147.939,-60.8776,-132.468,-2.76571,-0.552144,-8.20991,2.88509,-2.17814,-0.262977,2.21587,-0.489158,-0.151008
0.05,-93.1106,-281.986,85.8047,-2.83869,171.699,-4.15215,-17.6086,-110.877,-60.8776,-132.468,-2.61827,-0.345355,-7.33794,2.72591,-2.08551,-0.243732,2.25881,-0.446508,-0.154088
0.051,-97.6983,-256.73,85.8067,-2.83441,171.702,-4.12725,-33.9805,-129.65,-60.8776,-132.468,-2.4672,-0.158644,-7.03277,2.61063,-1.98637,-0.227216,2.31538,-0.452835,-0.158117
0.052,-118.215,-254.814,85.8109,-2.82753,171.706,-4.1,-70.9898,-173.319,-60.8776,-132.468,-2.29981,0.0265644,-7.06972,2.51061,-1.87421,-0.210444,2.37831,-0.49209,-0.162105
0.053,-128.176,-255.947,85.8188,-2.81717,171.714,-4.06948,-102.845,-210.433,-60.8776,-132.468,-2.1245,0.212693,-7.24225,2.41437,-1.75478,-0.193135,2.44284,-0.54355,-0.165809
0.054,-136.108,-254.09,85.8309,-2.80291,171.727,-4.0353,-115.914,-219.854,-60.8776,-132.468,-1.94289,0.39737,-7.43858,2.31836,-1.63118,-0.17541,2.50577,-0.598598,-0.169097
0.055,-133.551,-248.111,85.8464,-2.78794,171.742,-4.00066,-112.967,-211.688,-60.8776,-132.468,-1.76331,0.577312,-7.62144,2.22364,-1.50758,-0.157998,2.56607,-0.650571,-0.172212
0.056,-128.433,-241.372,85.8665,-2.76924,171.763,-3.96248,-107.054,-201.745,-60.8776,-132.468,-1.5878,0.751918,-7.78553,2.1303,-1.38507,-0.140685,2.62344,-0.698282,-0.174837
0.057,-122.801,-231.821,85.8921,-2.74341,171.789,-3.91734,-101.527,-190.883,-60.8776,-132.468,-1.41677,0.918949,-7.93537,2.0401,-1.26411,-0.123578,2.67755,-0.742248,-0.176867
0.058,-116.665,-221.253,85.9225,-2.71299,171.819,-3.86776,-97.3037,-181.433,-60.8776,-132.468,-1.25062,1.0776,-8.07766,1.95375,-1.14476,-0.106808,2.72825,-0.782808,-0.178348
0.059,-109.989,-210.335,85.957,-2.67961,171.854,-3.81534,-93.7679,-173.12,-60.8776,-132.468,-1.08978,1.22758,-8.21668,1.87149,-1.02711,-0.0904877,2.77545,-0.820043,-0.179362
0.06,-103.77,-199.815,85.9955,-2.6435,171.893,-3.7603,-90.5474,-165.579,-60.8776,-132.468,-0.933882,1.36922,-8.35445,1.79327,-0.911172,-0.0746293,2.81932,-0.85449,-0.179955
0.061,-95.913,-188.948,86.0378,-2.60489,171.935,-3.70284,-87.2795,-158.601,-60.8776,-132.468,-0.784234,1.50224,-8.49234,1.719,-0.797102,-0.0594161,2.85951,-0.88528,-0.180259
0.062,-87.7036,-178.435,86.0837,-2.56404,171.982,-3.6432,-83.9675,-152.2,-60.8776,-132.469,-0.641117,1.62691,-8.63098,1.64845,-0.684977,-0.044939,2.89603,-0.912295,-0.180384
0.063,-79.3186,-168.453,86.1331,-2.52121,172.031,-3.58163,-80.6114,-146.402,-60.8776,-132.469,-0.504666,1.74367,-8.77055,1.5813,-0.574828,-0.0312536,2.92892,-0.935466,-0.180422
0.064,-70.924,-159.121,86.1856,-2.47668,172.084,-3.51837,-77.2551,-141.247,-60.8776,-132.469,-0.374893,1.85303,-8.911,1.51716,-0.466646,-0.0183905,2.95826,-0.954774,-0.180452
0.065,-62.6696,-150.529,86.241,-2.43069,172.139,-3.45366,-73.956,-136.785,-60.8776,-132.469,-0.251684,1.95557,-9.05221,1.45562,-0.360382,-0.00635849,2.98416,-0.970256,-0.180539
0.066,-54.683,-142.735,86.2989,-2.38348,172.198,-3.38772,-70.7731,-133.025,-60.8776,-132.469,-0.134828,2.05194,-9.19398,1.39625,-0.255949,0.00485078,3.00676,-0.981998,-0.180739
0.067,-47.0684,-135.759,86.3593,-2.33526,172.258,-3.32076,-67.7536,-129.97,-60.8776,-132.469,-0.0240257,2.14278,-9.33609,1.33862,-0.153237,0.0152606,3.0262,-0.990135,-0.181095
0.068,-39.9193,-129.597,86.4217,-2.28625,172.321,-3.25296,-64.9341,-127.594,-60.8776,-132.469,0.0810924,2.22875,-9.47829,1.28232,-0.0521151,0.0249058,3.04266,-0.994838,-0.181641
0.069,-33.298,-124.226,86.4859,-2.23661,172.385,-3.1845,-62.3399,-125.845,-60.8776,-132.469,0.180946,2.31047,-9.62032,1.22695,0.047562,0.0338309,3.05631,-0.996314,-0.182398
0.07,-27.2538,-119.599,86.5517,-2.18653,172.451,-3.11553,-59.9904,-124.671,-60.8776,-132.469,0.275995,2.38854,-9.76193,1.17217,0.145947,0.0420877,3.06732,-0.994792,-0.183381
0.071,-21.8186,-115.665,86.6189,-2.13615,172.519,-3.04621,-57.895,-124,-60.8776,-132.469,0.366727,2.46351,-9.90286,1.11766,0.243197,0.0497334,3.07587,-0.990522,-0.184594
0.072,-17.008,-112.358,86.6872,-2.0856,172.587,-2.97665,-56.0523,-123.754,-60.8775,-132.469,0.453639,2.53588,-10.0429,1.06314,0.339465,0.0568289,3.08215,-0.983768,-0.186032
0.073,-12.8246,-109.616,86.7564,-2.03498,172.657,-2.90696,-54.4622,-123.857,-60.8775,-132.469,0.537232,2.6061,-10.1817,1.00841,0.434904,0.0634381,3.08633,-0.974799,-0.187685
0.074,-9.25073,-107.374,86.8263,-1.98441,172.727,-2.83723,-53.1128,-124.24,-60.8775,-132.469,0.617992,2.67457,-10.3192,0.953258,0.529659,0.0696269,3.08858,-0.963883,-0.189534
0.075,-6.25047,-105.577,86.8969,-1.93395,172.797,-2.76755,-51.9802,-124.838,-60.8774,-132.469,0.696377,2.74165,-10.4552,0.897554,0.623858,0.0754641,3.08907,-0.951277,-0.191553
0.076,-3.73278,-104.189,86.9678,-1.88367,172.869,-2.69797,-51.0268,-125.611,-60.8774,-132.469,0.772773,2.80767,-10.5895,0.841176,0.717607,0.0810258,3.08798,-0.937205,-0.193704
0.077,-1.39374,-103.221,87.039,-1.8336,172.94,-2.62853,-50.096,-126.55,-60.8774,-132.469,0.847322,2.87295,-10.7221,0.784016,0.81092,0.0864109,3.0855,-0.921773,-0.195923
