"Timestamp","BallCollision_NumContacts","BallCollision_ForceAmplitude"
4.79,1,0
4.791,2,10.9931
4.792,3,0.801587
4.793,3,0.0433091
4.794,2,0
4.795,2,0
4.796,3,0
4.797,3,0.198169
4.798,3,0
4.799,3,0.0995474
4.8,3,0
4.801,3,0.0410346
4.802,3,0.0590328
4.803,3,0
4.804,4,0
4.805,5,0.00588937
4.806,4,0.0159727
4.807,4,0
4.808,4,0
4.809,4,0
4.81,4,0
4.811,5,0
4.812,4,0
4.813,4,0
4.814,4,0
4.815,4,0
4.816,4,0
4.817,5,0
4.818,5,0
4.819,5,0
4.82,4,0
4.821,3,0
4.822,3,0
4.823,3,0
4.824,3,0
4.825,3,0
4.826,2,0
4.827,1,0
4.828,1,0
